dataset,nace,indic,unit,sizeclas,geo,year,value
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EL,2019,2.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EL,2020,1.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EL,2021,2.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EL,2022,1.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EL,2023,4.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EL,2024,3.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EL,2025,2.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,ES,2018,0.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,ES,2019,0.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,ES,2020,0.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,ES,2021,1.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,ES,2022,1.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,ES,2023,1.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,ES,2024,1.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,ES,2025,1.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EU27_2020,2018,2.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EU27_2020,2019,3.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EU27_2020,2020,2.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EU27_2020,2021,3.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EU27_2020,2022,4.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EU27_2020,2023,3.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EU27_2020,2024,2.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,EU27_2020,2025,2.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FI,2018,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FI,2019,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FI,2020,2.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FI,2021,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FI,2022,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FI,2023,2.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FI,2024,2.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FI,2025,1.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FR,2018,2.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FR,2019,2.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FR,2021,3.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FR,2022,3.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FR,2023,3.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FR,2024,3.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,FR,2025,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,HU,2018,2.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,HU,2019,2.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,HU,2020,1.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,HU,2021,2.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,HU,2022,2.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,HU,2023,2.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,HU,2024,2.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,HU,2025,1.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IE,2018,2.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IE,2019,2.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IE,2020,1.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IE,2021,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IE,2022,3.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IE,2023,2.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IE,2024,2.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IE,2025,2.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IT,2018,1.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IT,2019,1.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IT,2020,1.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IT,2021,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IT,2022,3.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IT,2023,2.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IT,2024,2.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,IT,2025,2.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,NL,2018,4.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,NL,2019,4.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,NL,2020,3.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,NL,2021,4.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,NL,2022,6.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,NL,2023,5.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,NL,2024,5.3
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,NL,2025,5.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PL,2018,1.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PL,2019,1.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PL,2020,0.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PL,2021,1.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PL,2022,1.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PL,2023,1.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PL,2024,1.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PL,2025,0.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PT,2018,1.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PT,2019,1.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PT,2020,1.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PT,2021,1.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PT,2022,2.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PT,2023,1.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PT,2024,1.7
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,PT,2025,2.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,RO,2018,1.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,RO,2019,0.9
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,RO,2020,0.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,RO,2021,0.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,RO,2022,1.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,RO,2023,0.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,RO,2024,0.6
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,RO,2025,1.0
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,SE,2018,3.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,SE,2019,3.2
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,SE,2020,2.1
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,SE,2021,3.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,SE,2022,4.5
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,SE,2023,3.8
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,SE,2024,3.4
jvs_a_rate_r2,M,JVR,AVG_A,TOTAL,SE,2025,3.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,AT,2018,5.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,AT,2019,6.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,AT,2020,5.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,AT,2021,6.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,AT,2022,7.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,AT,2023,6.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,AT,2024,5.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,AT,2025,4.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,BE,2018,5.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,BE,2019,4.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,BE,2020,3.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,BE,2021,6.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,BE,2022,5.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,BE,2023,5.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,BE,2024,5.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,BE,2025,5.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,CZ,2018,12.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,CZ,2019,15.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,CZ,2020,13.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,CZ,2021,12.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,CZ,2022,10.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,CZ,2023,8.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,CZ,2024,6.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,CZ,2025,3.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DE,2018,5.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DE,2019,5.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DE,2020,5.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DE,2021,6.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DE,2022,7.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DE,2023,6.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DE,2024,4.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DE,2025,4.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DK,2018,2.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DK,2019,2.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DK,2020,2.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DK,2021,3.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DK,2022,3.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DK,2023,2.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DK,2024,2.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,DK,2025,2.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EL,2018,0.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EL,2019,0.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EL,2020,0.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EL,2021,4.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EL,2022,6.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EL,2023,2.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EL,2024,3.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EL,2025,4.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,ES,2018,0.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,ES,2019,0.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,ES,2020,0.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,ES,2021,0.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,ES,2022,0.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,ES,2023,0.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,ES,2024,0.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,ES,2025,0.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EU27_2020,2018,3.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EU27_2020,2019,3.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EU27_2020,2020,3.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EU27_2020,2021,3.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EU27_2020,2022,4.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EU27_2020,2023,3.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EU27_2020,2024,3.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,EU27_2020,2025,2.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FI,2018,2.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FI,2019,2.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FI,2020,1.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FI,2021,2.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FI,2022,2.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FI,2023,1.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FI,2024,1.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FI,2025,1.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FR,2018,2.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FR,2019,2.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FR,2021,3.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FR,2022,4.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FR,2023,4.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FR,2024,3.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,FR,2025,2.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,HU,2018,3.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,HU,2019,2.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,HU,2020,1.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,HU,2021,1.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,HU,2022,1.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,HU,2023,1.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,HU,2024,1.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,HU,2025,1.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IE,2018,0.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IE,2019,1.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IE,2020,0.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IE,2021,1.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IE,2022,1.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IE,2023,0.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IE,2024,1.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IE,2025,1.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IT,2018,1.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IT,2019,2.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IT,2020,1.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IT,2021,2.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IT,2022,3.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IT,2023,3.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IT,2024,3.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,IT,2025,2.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,NL,2018,4.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,NL,2019,5.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,NL,2020,4.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,NL,2021,6.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,NL,2022,7.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,NL,2023,6.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,NL,2024,6.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,NL,2025,7.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PL,2018,2.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PL,2019,2.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PL,2020,1.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PL,2021,2.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PL,2022,2.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PL,2023,1.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PL,2024,1.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PL,2025,1.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PT,2018,0.9
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PT,2019,1.1
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PT,2020,0.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PT,2021,1.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PT,2022,1.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PT,2023,1.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PT,2024,1.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,PT,2025,1.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,RO,2018,0.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,RO,2019,0.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,RO,2020,0.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,RO,2021,0.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,RO,2022,0.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,RO,2023,0.3
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,RO,2024,0.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,RO,2025,0.5
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,SE,2018,2.0
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,SE,2019,1.8
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,SE,2020,1.2
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,SE,2021,1.6
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,SE,2022,2.4
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,SE,2023,1.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,SE,2024,1.7
jvs_a_rate_r2,F,JVR,AVG_A,TOTAL,SE,2025,1.9
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,AT,2018,5.3
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,AT,2019,5.3
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,AT,2020,4.4
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,AT,2021,5.3
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,AT,2022,7.8
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,AT,2023,7.4
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,AT,2024,6.1
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,AT,2025,4.9
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,BE,2018,7.2
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,BE,2019,6.8
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,BE,2020,6.1
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,BE,2021,8.2
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,BE,2022,9.0
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,BE,2023,8.5
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,BE,2024,7.9
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,BE,2025,6.9
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,CZ,2018,17.4
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,CZ,2019,22.0
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,CZ,2020,18.9
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,CZ,2021,17.0
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,CZ,2022,12.2
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,CZ,2023,8.0
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,CZ,2024,8.1
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,CZ,2025,5.2
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DE,2018,5.4
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DE,2019,5.8
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DE,2020,3.9
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DE,2021,5.3
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DE,2022,7.0
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DE,2023,6.6
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DE,2024,5.5
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DE,2025,4.5
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DK,2018,2.7
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DK,2019,2.5
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DK,2020,2.5
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DK,2021,3.5
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DK,2022,4.3
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DK,2023,3.3
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DK,2024,3.1
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,DK,2025,2.9
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,EL,2018,1.3
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,EL,2019,1.1
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,EL,2020,0.7
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,EL,2021,1.6
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,EL,2022,1.3
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,EL,2023,3.2
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,EL,2024,4.0
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,EL,2025,2.6
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,ES,2018,0.8
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,ES,2019,0.7
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,ES,2020,0.6
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,ES,2021,0.8
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,ES,2022,1.0
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,ES,2023,1.0
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,ES,2024,0.9
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,ES,2025,0.8
jvs_a_rate_r2,M_N,JVR,AVG_A,TOTAL,EU27_2020,2018,3.4
