model,model_id,prompt_variant,run,occupation,soc2020_code,score,confidence,rationale,temperature,top_p,max_tokens,context_cleared
DeepSeek,DeepSeek-V3,main_prompt,1,Building technician,3114,3,Medium,"Inspection and measurement follow structured protocols, but on-site judgement and reporting require human presence.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Surveying technician,3114,3,High,"Field data collection is standardised, but equipment handling and quality checks limit automation.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Planning engineer,2481,3,High,"Resource and workflow planning use scheduling software, but coordination and adjustment with teams remain human-intensive.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Quality control engineer,2481,3,High,"Quality auditing uses checklists and data, but site observation and non-conformance decisions require human expertise.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Estimator,3541,4,High,"Cost estimation and quantity takeoff are highly standardised and numerical, offering strong potential for AI automation.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Valuer,3541,2,Medium,"Market analysis uses data, but subjective valuation and client negotiation keep exposure low-moderate.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Energy adviser and assessor,3541,4,High,"Building energy evaluation follows standardised calculations and reporting, highly amenable to generative-AI processing.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Building control officer,3581,2,High,"Regulatory enforcement is checklist-driven, but on-site inspection and discretionary enforcement require humans.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Housing and planning inspector,3581,2,Medium,"Compliance assessment uses structured criteria, but site visits and judgement of habitability are human-centred.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Health and safety inspector,3581,2,High,"Site safety inspection involves checklists, but human observation and enforcement discretion are critical.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Traffic and vehicle examiner/inspector,3581,3,Medium,"Transport compliance uses structured testing, but physical inspection and safety judgement remain important.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Occupational health and safety officer,3582,2,Medium,"Safety system design and enforcement use data, but human risk communication and policy adaptation limit AI exposure.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Fire safety officer,3582,3,Medium,"Fire risk assessment uses standardised tools, but site-specific evaluation and enforcement require human input.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Road traffic and transport safety officer,3582,2,Medium,"Safety auditing follows protocols, but on-site observation and corrective action planning are human-intensive.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Occupational hygienist,3582,3,Medium,"Exposure risk measurement uses sensors and data, but interpretation and control strategies need professional judgement.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Environmental health professional,2483,3,High,"Environmental compliance monitoring uses structured data, but policy interpretation and public health judgement are key.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Environmental consultant,2152,3,High,"Environmental impact reporting involves standardised data, but bespoke assessments and client advice require human expertise.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Environmental scientist,2152,3,High,"Environmental data analysis is data-intensive, but hypothesis generation and field validation limit full automation.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Environmental/geo-environmental engineer,2152,2,Medium,"Site remediation design uses modelling, but high field uncertainty and regulatory negotiation reduce AI exposure.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Sustainability officer,2152,3,Medium,"Sustainability strategy and reporting are text/data-heavy, but stakeholder engagement and strategic judgement are central.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Energy manager,2152,3,High,"Energy optimisation across assets uses standardised data, but operational decisions and human coordination remain important.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Hydrogeologist,2114,2,Medium,"Groundwater analysis uses models, but field work and interpretation of complex geology reduce full AI substitution.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,1,Hydrologist,2114,3,High,"Flood and water system modelling are data-intensive, but policy integration and risk communication require human judgement.",UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Civil engineer,2121,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Structural engineer,2121,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Geotechnical engineer,2121,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Transportation engineer,2121,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Water engineer (professional),2121,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Building and building services engineer,2121,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Engineering project manager,2127,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Project engineer,2127,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Energy engineer,2129,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Traffic engineer,2129,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Heating and ventilating engineer (professional),2129,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Gas engineer (professional),2129,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Construction project manager,2455,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Construction contract manager,2455,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Transport planner,2455,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Quantity surveyor,2453,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Building control surveyor,2454,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Land surveyor,2454,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Hydrographic surveyor,2454,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Town planning officer,2452,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Urban designer,2452,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Chartered architectural technologist,2452,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,BIM technician,3120,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,CAD technician,3120,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Architectural technician,3120,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Cartographer,3120,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Civil engineering technician,3114,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Building technician,3114,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Surveying technician,3114,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Planning engineer,2481,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Quality control engineer,2481,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Estimator,3541,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Valuer,3541,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Energy adviser and assessor,3541,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Building control officer,3581,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Housing and planning inspector,3581,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Health and safety inspector,3581,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Traffic and vehicle examiner/inspector,3581,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Occupational health and safety officer,3582,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Fire safety officer,3582,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Road traffic and transport safety officer,3582,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Occupational hygienist,3582,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Environmental health professional,2483,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Environmental consultant,2152,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Environmental scientist,2152,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Environmental/geo-environmental engineer,2152,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Sustainability officer,2152,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Energy manager,2152,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Hydrogeologist,2114,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,2,Hydrologist,2114,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Civil engineer,2121,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Structural engineer,2121,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Geotechnical engineer,2121,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Transportation engineer,2121,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Water engineer (professional),2121,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Building and building services engineer,2121,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Engineering project manager,2127,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Project engineer,2127,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Energy engineer,2129,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Traffic engineer,2129,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Heating and ventilating engineer (professional),2129,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Gas engineer (professional),2129,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Construction project manager,2455,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Construction contract manager,2455,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Transport planner,2455,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Quantity surveyor,2453,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Building control surveyor,2454,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Land surveyor,2454,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Hydrographic surveyor,2454,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Town planning officer,2452,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Urban designer,2452,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Chartered architectural technologist,2452,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,BIM technician,3120,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,CAD technician,3120,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Architectural technician,3120,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Cartographer,3120,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Civil engineering technician,3114,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Building technician,3114,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Surveying technician,3114,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Planning engineer,2481,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Quality control engineer,2481,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Estimator,3541,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Valuer,3541,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Energy adviser and assessor,3541,4,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Building control officer,3581,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Housing and planning inspector,3581,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Health and safety inspector,3581,2,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Traffic and vehicle examiner/inspector,3581,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Occupational health and safety officer,3582,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Fire safety officer,3582,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Road traffic and transport safety officer,3582,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Occupational hygienist,3582,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Environmental health professional,2483,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Environmental consultant,2152,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Environmental scientist,2152,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Environmental/geo-environmental engineer,2152,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Sustainability officer,2152,3,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Energy manager,2152,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Hydrogeologist,2114,2,Medium,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,3,Hydrologist,2114,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,4,Civil engineer,2121,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
DeepSeek,DeepSeek-V3,main_prompt,4,Structural engineer,2121,3,High,Original rationale supplied in user-pasted DeepSeek JSON; occupation name normalized where needed.,UI default,UI default,UI default,True
